"cell_id","pseudotime_original"
"young_LT_HSC_10",0
"young_LT_HSC_101",0
"young_LT_HSC_102",0
"young_LT_HSC_104",0
"young_LT_HSC_107",0
"young_LT_HSC_108",0
"young_LT_HSC_109",0
"young_LT_HSC_11",0
"young_LT_HSC_110",0
"young_LT_HSC_111",0
"young_LT_HSC_112",0
"young_LT_HSC_113",0
"young_LT_HSC_114",0
"young_LT_HSC_115",0
"young_LT_HSC_116",0
"young_LT_HSC_117",0
"young_LT_HSC_118",0
"young_LT_HSC_119",0
"young_LT_HSC_12",0
"young_LT_HSC_121",0
"young_LT_HSC_122",0
"young_LT_HSC_123",0
"young_LT_HSC_125",0
"young_LT_HSC_126",0
"young_LT_HSC_127",0
"young_LT_HSC_128",0
"young_LT_HSC_129",0
"young_LT_HSC_130",0
"young_LT_HSC_131",0
"young_LT_HSC_132",0
"young_LT_HSC_133",0
"young_LT_HSC_134",0
"young_LT_HSC_135",0
"young_LT_HSC_136",0
"young_LT_HSC_137",0
"young_LT_HSC_138",0
"young_LT_HSC_139",0
"young_LT_HSC_14",0
"young_LT_HSC_140",0
"young_LT_HSC_141",0
"young_LT_HSC_142",0
"young_LT_HSC_143",0
"young_LT_HSC_144",0
"young_LT_HSC_145",0
"young_LT_HSC_146",0
"young_LT_HSC_147",0
"young_LT_HSC_148",0
"young_LT_HSC_149",0
"young_LT_HSC_15",0
"young_LT_HSC_150",0
"young_LT_HSC_151",0
"young_LT_HSC_152",0
"young_LT_HSC_153",0
"young_LT_HSC_154",0
"young_LT_HSC_155",0
"young_LT_HSC_156",0
"young_LT_HSC_157",0
"young_LT_HSC_158",0
"young_LT_HSC_159",0
"young_LT_HSC_16",0
"young_LT_HSC_160",0
"young_LT_HSC_161",0
"young_LT_HSC_162",0
"young_LT_HSC_163",0
"young_LT_HSC_164",0
"young_LT_HSC_165",0
"young_LT_HSC_166",0
"young_LT_HSC_167",0
"young_LT_HSC_169",0
"young_LT_HSC_17",0
"young_LT_HSC_170",0
"young_LT_HSC_171",0
"young_LT_HSC_172",0
"young_LT_HSC_173",0
"young_LT_HSC_174",0
"young_LT_HSC_175",0
"young_LT_HSC_176",0
"young_LT_HSC_177",0
"young_LT_HSC_178",0
"young_LT_HSC_179",0
"young_LT_HSC_18",0
"young_LT_HSC_182",0
"young_LT_HSC_183",0
"young_LT_HSC_184",0
"young_LT_HSC_185",0
"young_LT_HSC_186",0
"young_LT_HSC_187",0
"young_LT_HSC_188",0
"young_LT_HSC_189",0
"young_LT_HSC_19",0
"young_LT_HSC_190",0
"young_LT_HSC_191",0
"young_LT_HSC_192",0
"young_LT_HSC_2",0
"young_LT_HSC_20",0
"young_LT_HSC_21",0
"young_LT_HSC_22",0
"young_LT_HSC_23",0
"young_LT_HSC_24",0
"young_LT_HSC_25",0
"young_LT_HSC_26",0
"young_LT_HSC_28",0
"young_LT_HSC_30",0
"young_LT_HSC_31",0
"young_LT_HSC_32",0
"young_LT_HSC_33",0
"young_LT_HSC_34",0
"young_LT_HSC_35",0
"young_LT_HSC_36",0
"young_LT_HSC_37",0
"young_LT_HSC_38",0
"young_LT_HSC_40",0
"young_LT_HSC_41",0
"young_LT_HSC_42",0
"young_LT_HSC_43",0
"young_LT_HSC_44",0
"young_LT_HSC_45",0
"young_LT_HSC_46",0
"young_LT_HSC_47",0
"young_LT_HSC_48",0
"young_LT_HSC_49",0
"young_LT_HSC_50",0
"young_LT_HSC_51",0
"young_LT_HSC_53",0
"young_LT_HSC_54",0
"young_LT_HSC_55",0
"young_LT_HSC_56",0
"young_LT_HSC_57",0
"young_LT_HSC_58",0
"young_LT_HSC_59",0
"young_LT_HSC_6",0
"young_LT_HSC_60",0
"young_LT_HSC_61",0
"young_LT_HSC_62",0
"young_LT_HSC_63",0
"young_LT_HSC_64",0
"young_LT_HSC_65",0
"young_LT_HSC_66",0
"young_LT_HSC_67",0
"young_LT_HSC_68",0
"young_LT_HSC_69",0
"young_LT_HSC_70",0
"young_LT_HSC_71",0
"young_LT_HSC_72",0
"young_LT_HSC_73",0
"young_LT_HSC_74",0
"young_LT_HSC_75",0
"young_LT_HSC_76",0
"young_LT_HSC_78",0
"young_LT_HSC_8",0
"young_LT_HSC_80",0
"young_LT_HSC_81",0
"young_LT_HSC_82",0
"young_LT_HSC_83",0
"young_LT_HSC_84",0
"young_LT_HSC_86",0
"young_LT_HSC_87",0
